City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Novoanninskiy,RU,50.5287,42.6747,27.0,71,81,5.99,broken clouds
158,Parrita,CR,9.5201,-84.3225,81.0,56,0,17.27,clear sky
159,Road Town,VG,18.4167,-64.6167,82.4,61,20,3.44,few clouds
160,Mazyr,BY,52.0495,29.2456,37.51,87,75,11.48,broken clouds
161,Fairbanks,US,64.8378,-147.7164,-20.99,67,1,3.51,clear sky
162,Castro,BR,-24.7911,-50.0119,80.08,52,13,5.91,few clouds
163,Great Falls,US,47.5002,-111.3008,37.4,52,1,10.36,clear sky
164,Burnie,AU,-41.0667,145.9167,46.0,82,0,8.01,clear sky
165,Neryungri,RU,56.6709,124.6491,26.02,82,100,11.54,overcast clouds
166,Nome,US,64.5011,-165.4064,8.6,78,90,24.16,overcast clouds
167,Kortkeros,RU,61.8106,51.5806,21.2,86,75,13.42,light snow
168,Makakilo City,US,21.3469,-158.0858,69.8,78,1,9.22,clear sky
169,Holme,DK,56.1138,10.1725,39.2,100,75,3.44,broken clouds
170,Bonavista,CA,48.6499,-53.1147,42.8,45,0,8.05,clear sky
171,Ostrovnoy,RU,68.0531,39.5131,13.53,90,31,16.55,scattered clouds
172,Zarechnyy,RU,53.2036,45.1923,15.53,82,100,11.99,overcast clouds
173,Alofi,NU,-19.0595,-169.9187,69.8,94,23,1.14,few clouds
174,Mbini,GQ,1.574,9.6134,82.94,77,86,8.88,light rain
175,Codrington,AU,-38.2667,141.9667,51.89,64,0,9.13,clear sky
176,Shimoda,JP,34.6667,138.95,46.0,93,17,3.0,few clouds
177,Tuatapere,NZ,-46.1333,167.6833,45.0,93,1,1.99,clear sky
178,Kurchum,KZ,48.5722,83.6542,-1.21,81,100,11.48,overcast clouds
179,Mount Gambier,AU,-37.8333,140.7667,46.4,93,40,5.75,scattered clouds
180,Taksimo,RU,56.3444,114.8794,22.93,93,100,1.86,light snow
181,Tautira,PF,-17.7333,-149.15,77.0,88,20,4.61,few clouds
182,Muros,ES,42.7762,-9.0603,57.0,72,83,11.99,broken clouds
183,Severo-Kurilsk,RU,50.6789,156.125,28.71,84,76,14.92,broken clouds
184,Stolin,BY,51.8912,26.846,38.35,93,100,9.24,overcast clouds
185,Bonthe,SL,7.5264,-12.505,86.45,63,99,11.41,light rain
186,Luderitz,NA,-26.6481,15.1594,72.81,66,2,13.22,clear sky
187,Karonga,MW,-9.9333,33.9333,76.98,83,97,9.31,light rain
188,Pangnirtung,CA,66.1451,-65.7125,-20.2,76,20,2.82,few clouds
189,Kargasok,RU,59.0556,80.8572,11.55,91,100,11.63,overcast clouds
190,Aklavik,CA,68.2191,-135.0107,-25.6,68,20,3.44,few clouds
191,Ilam,NP,26.9167,87.9167,63.77,42,100,1.25,overcast clouds
192,Kitui,KE,-1.367,38.0106,75.33,54,93,7.2,overcast clouds
193,Svetlogorsk,BY,52.6333,29.7333,37.11,89,97,12.26,overcast clouds
194,Ambulu,ID,-8.345,113.6058,76.42,88,97,2.93,overcast clouds
195,Homer,US,59.6425,-151.5483,10.4,44,1,9.22,clear sky
196,Ayan,RU,56.45,138.1667,14.02,65,0,6.4,clear sky
197,Monywa,MM,22.1167,95.1333,82.22,22,0,3.04,clear sky
198,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,16.11,clear sky
199,Taicheng,CN,38.731,113.228,42.49,85,0,4.76,clear sky
200,Mar Del Plata,AR,-38.0023,-57.5575,75.2,46,0,6.91,clear sky
201,Khatanga,RU,71.9667,102.5,-13.83,85,100,12.71,overcast clouds
202,Ciudad Bolivar,VE,8.1222,-63.5497,88.52,49,89,9.57,overcast clouds
203,Tromso,NO,69.6496,18.957,30.2,93,90,2.3,light snow
204,Moroni,KM,-11.7022,43.2551,81.3,78,100,4.45,light rain
205,Kintampo,GH,8.0563,-1.7306,95.63,32,99,2.17,overcast clouds
206,Hurricane,US,37.1753,-113.2899,34.0,93,90,3.44,light snow
207,Tiksi,RU,71.6872,128.8694,-4.11,89,93,13.42,overcast clouds
208,Kannangad,IN,12.3081,75.1063,80.92,80,1,4.05,clear sky
209,Wattegama,LK,6.7989,81.4808,80.6,94,20,6.91,few clouds
210,Jonkoping,SE,57.7814,14.1562,37.4,87,20,5.75,few clouds
211,Arlit,NE,18.7369,7.3853,89.28,10,73,8.25,broken clouds
212,Dunedin,NZ,-45.8742,170.5036,55.0,88,0,8.01,clear sky
213,Skibotn,NO,69.3913,20.2679,30.2,93,90,2.3,light snow
214,Boa Vista,BR,2.8197,-60.6733,77.0,83,90,1.14,moderate rain
215,Severodvinsk,RU,64.5635,39.8302,19.4,79,75,4.47,light snow
216,Lompoc,US,34.6391,-120.4579,51.8,76,90,11.5,overcast clouds
217,Thompson,CA,55.7435,-97.8558,15.8,67,20,11.5,few clouds
218,Mount Isa,AU,-20.7333,139.5,77.0,73,40,8.05,scattered clouds
219,Tessalit,ML,20.1986,1.0114,83.8,20,0,16.22,clear sky
220,Yumen,CN,40.2833,97.2,49.82,25,50,14.92,scattered clouds
221,Aden,YE,12.7794,45.0367,78.64,77,89,17.27,overcast clouds
222,Mogocha,RU,53.7333,119.7667,22.71,93,76,2.89,broken clouds
223,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.6,51,20,2.3,few clouds
224,Paita,PE,-5.0892,-81.1144,87.8,48,0,13.8,clear sky
225,Alice Springs,AU,-23.7,133.8833,68.0,100,90,10.36,overcast clouds
226,Itanagar,IN,27.1,93.6167,70.09,57,43,3.89,scattered clouds
227,Tasiilaq,GL,65.6145,-37.6368,21.2,73,75,24.16,broken clouds
228,Terrace,CA,54.5163,-128.6035,35.6,93,90,11.5,moderate rain
229,Chicama,PE,-7.8447,-79.1469,73.4,78,0,12.66,fog
230,Kaitangata,NZ,-46.2817,169.8464,52.0,91,0,5.39,clear sky
231,Lavrentiya,RU,65.5833,-171.0,16.36,93,100,22.66,snow
232,Mpulungu,ZM,-8.7623,31.1141,77.2,77,87,1.95,light rain
233,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,16.11,broken clouds
234,Iralaya,HN,15.0,-83.2333,82.4,74,40,5.75,scattered clouds
235,Middle Island,US,40.8843,-72.9373,42.8,24,1,13.8,clear sky
236,Karaton,ID,-6.3424,106.1045,84.99,78,20,6.91,moderate rain
237,Darhan,MN,49.4867,105.9228,39.94,49,75,9.06,broken clouds
238,Lebu,CL,-37.6167,-73.65,65.61,62,0,9.08,clear sky
239,Cayenne,GF,4.9333,-52.3333,84.2,65,75,11.5,broken clouds
240,Acapulco,MX,16.8634,-99.8901,82.4,69,1,5.75,clear sky
241,Qaqortoq,GL,60.7167,-46.0333,24.8,36,75,2.3,broken clouds
242,Bridgwater,GB,51.1284,-3.0036,46.99,70,87,5.99,light rain
243,Sibolga,ID,1.7427,98.7792,76.21,93,100,6.49,overcast clouds
244,Georgetown,MY,5.4112,100.3354,80.6,88,40,3.44,scattered clouds
245,Korla,CN,41.7597,86.1469,54.46,32,58,7.78,broken clouds
246,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,90,6.91,overcast clouds
247,Carauari,BR,-4.8828,-66.8958,83.3,80,58,3.85,broken clouds
248,Yulara,AU,-25.2406,130.9889,68.0,77,90,12.66,overcast clouds
249,Berlevag,NO,70.8578,29.0864,23.16,83,100,9.8,overcast clouds
250,Sorland,NO,67.667,12.6934,39.2,93,75,10.36,broken clouds
251,Smolenka,RU,52.1352,113.4974,28.4,69,51,4.47,broken clouds
252,Taoudenni,ML,22.6783,-3.9836,86.02,22,34,15.41,scattered clouds
253,Sinnamary,GF,5.3833,-52.95,79.41,81,99,2.46,overcast clouds
254,Oranjemund,NA,-28.55,16.4333,70.45,71,0,9.69,clear sky
255,Grindavik,IS,63.8424,-22.4338,28.4,59,20,18.41,few clouds
256,Ruteng,ID,-8.6136,120.4721,62.89,92,96,0.4,overcast clouds
257,Saravan,AM,39.7196,45.6483,32.0,74,40,4.61,scattered clouds
258,Waslala,NI,13.2333,-85.3833,68.0,83,40,9.22,scattered clouds
259,Saskylakh,RU,71.9167,114.0833,-5.75,95,1,11.52,clear sky
260,Pihuamo,MX,19.2499,-103.3828,80.6,36,1,0.92,clear sky
261,Aviles,ES,43.5547,-5.9248,57.99,87,75,19.57,broken clouds
262,Yushan,CN,31.3776,120.9543,50.0,81,6,4.47,mist
263,Zambezi,ZM,-13.5432,23.1047,74.8,78,64,2.48,light rain
264,Souillac,MU,-20.5167,57.5167,80.6,78,40,11.5,light rain
265,Humaita,BR,-7.5061,-63.0208,92.25,46,35,3.38,scattered clouds
266,Muhos,FI,64.808,25.9931,28.0,86,20,5.75,light snow
267,Kudahuvadhoo,MV,2.6708,72.8944,83.68,72,0,9.82,clear sky
268,Te Anau,NZ,-45.4167,167.7167,53.26,80,20,6.31,few clouds
269,Ipora,BR,-16.4419,-51.1178,83.73,61,62,5.3,broken clouds
270,Canto Do Buriti,BR,-8.11,-42.9444,85.33,64,13,5.19,few clouds
271,Touros,BR,-5.1989,-35.4608,87.8,55,40,14.97,scattered clouds
272,Rio Gallegos,AR,-51.6226,-69.2181,59.0,18,20,21.85,few clouds
273,Yenagoa,NG,4.9247,6.2642,88.66,60,100,8.57,moderate rain
274,Kieta,PG,-6.2167,155.6333,78.31,81,44,3.74,scattered clouds
275,Vallenar,CL,-28.5708,-70.7581,79.65,41,1,7.92,clear sky
276,Seoul,KR,37.5683,126.9778,44.6,87,0,2.3,mist
277,College,US,64.8569,-147.8028,-20.99,90,20,3.49,few clouds
278,Peleduy,RU,59.6289,112.7406,5.5,95,27,4.45,scattered clouds
279,Ancud,CL,-41.8697,-73.8203,68.0,67,0,9.22,clear sky
280,Baghdad,IQ,33.3406,44.4009,60.8,33,0,5.75,clear sky
281,Karratha,AU,-20.7377,116.8463,81.36,70,98,11.72,overcast clouds
282,Lydenburg,ZA,-25.0978,30.4597,63.0,37,0,1.99,clear sky
283,Fortuna,US,40.5982,-124.1573,46.0,87,90,2.53,overcast clouds
284,Nelson Bay,AU,-32.7167,152.15,75.0,88,3,2.3,moderate rain
285,Mabaruma,GY,8.2,-59.7833,75.02,94,100,5.1,overcast clouds
286,Praia Da Vitoria,PT,38.7333,-27.0667,63.0,88,75,24.54,broken clouds
287,Haines Junction,CA,60.7522,-137.5108,-2.2,60,89,8.05,overcast clouds
288,Huaral,PE,-11.495,-77.2078,78.8,69,0,12.66,clear sky
289,Portland,US,45.5234,-122.6762,43.0,75,75,1.68,broken clouds
290,Camabatela,AO,-8.1881,15.375,76.05,71,74,3.15,broken clouds
291,Andenes,NO,69.3143,16.1194,37.4,81,75,11.5,broken clouds
292,Omsukchan,RU,62.5333,155.8,-14.13,94,100,5.26,overcast clouds
293,Beyneu,KZ,45.3167,55.2,25.47,43,21,8.01,few clouds
294,Solnechnyy,RU,50.7214,136.6319,24.8,83,0,2.48,clear sky
295,Nakhon Phanom,TH,17.3333,104.4167,76.69,60,25,9.64,scattered clouds
296,Huarmey,PE,-10.0681,-78.1522,76.95,71,35,9.46,scattered clouds
297,Christchurch,NZ,-43.5333,172.6333,59.0,88,6,13.8,clear sky
298,Baruun-Urt,MN,46.6806,113.2792,35.89,44,3,11.25,clear sky
299,Maceio,BR,-9.6658,-35.7353,84.2,70,75,9.22,broken clouds
300,Mantua,IT,45.1667,10.7833,62.01,52,37,5.01,scattered clouds
301,Panzhihua,CN,26.5851,101.7128,57.99,50,0,0.78,clear sky
302,Kushima,JP,31.4583,131.2333,53.2,75,90,2.57,overcast clouds
303,Santa Fe,AR,-31.6333,-60.7,89.01,58,30,4.0,scattered clouds
304,Warmbad,NA,-28.45,18.7333,96.71,11,16,14.76,few clouds
305,Arcata,US,40.8665,-124.0828,46.99,93,90,5.75,overcast clouds
306,Esperance,AU,-33.8667,121.9,53.6,71,42,5.75,scattered clouds
307,Buraydah,SA,26.326,43.975,71.6,37,0,6.91,dust
308,Strezhevoy,RU,60.7333,77.5889,8.6,78,0,4.47,clear sky
309,Turukhansk,RU,65.8167,87.9833,-25.08,92,72,9.84,broken clouds
310,Tornio,FI,65.8481,24.1466,23.0,93,75,2.3,broken clouds
311,Purbalingga,ID,-7.3881,109.3639,76.41,88,98,0.34,overcast clouds
